WORD,LENGTH,FREQUENCY,POS,CONCRETENESS,IMAGEABILITY,PICTURE
cross,5,55.04,NN|VB,514,501,NO
spoon,5,7.61,NN|VB,614,584,YES
pillow,6,11.39,NN,613,624,YES
rabbit,6,20.94,NN|VB,635,611,NO
suitcase,8,13.39,NN,-,-,YES
tree,4,65,NN,604,622,YES
hose,4,8.06,NN,596,572,YES
barrel,6,10.63,NN|VB,590,602,YES
mole,4,8.06,NN,590,567,NO
toothbrush,10,5,NN,-,-,YES
turkey,6,22.61,NN,-,-,YES
spring,6,31.31,NN|VB,524,585,YES
seal,4,14.75,NN|VB,587,563,YES
candy,5,35.78,NN,602,601,YES
mountain,8,35.39,NN,616,629,YES
wolf,4,20.27,NN,595,610,YES
brick,5,10.18,NN,610,574,YES
smile,5,58,NN|VB,514,615,NO
flag,4,17.49,NN|VB,606,607,YES
butterfly,9,5.51,NN|RB|JJ,593,624,YES
coffin,6,9.04,NN,595,606,YES
trophy,6,7.55,NN,-,-,YES
tongue,6,31.16,NN,634,621,YES
glove,5,10.1,NN|VB,607,596,YES
vice,4,18.63,NN,399,413,NO
train,5,95.06,NN|VB,592,593,YES
chin,4,12.69,NN|VB,592,608,NO
mouse,5,19.12,NN,624,615,YES
star,4,81.35,NN|VB,574,623,YES
record,6,85.59,NN,558,591,YES
moose,5,5.53,NN,616,604,YES
cape,4,8.24,NN,581,566,NO
sword,5,26.18,NN,577,597,YES
wheel,5,27.06,NN|VB,573,576,YES
garbage,7,26.1,NN,572,596,NO
helmet,6,9.47,NN,602,620,YES
rain,4,48.9,NN|VB,600,618,NO
stomach,7,33.82,NN|VB,617,551,NO
sheep,5,13.43,NN,622,596,YES
strawberry,10,5.53,NN,610,631,YES
toilet,6,28.9,NN,586,603,YES
tent,4,17.49,NN,608,593,YES
bread,5,28.33,NN,622,619,YES
shell,5,13.22,NN|VB,597,581,YES
button,6,28.25,NN|VB,613,580,YES
apple,5,23.67,NN,620,637,YES
shield,6,8.2,NN|VB,576,556,YES
bubble,6,8,NN|JJ|VB,563,604,NO
witch,5,27.65,NN,522,589,YES
cabinet,7,8.33,NN,593,524,NO
robin,5,24.94,NN,637,615,NO
straw,5,6.24,NN,603,568,YES
cheese,6,39.04,NN,624,592,YES
bottle,6,50.75,NN|VB,591,619,YES
spider,6,10.1,NN,607,597,YES
newspaper,9,23.69,NN,576,616,YES
chair,5,49.24,NN|VB,606,610,YES
lamp,4,12.88,NN,615,575,YES
dress,5,87.2,NN|VB,595,595,YES
arrow,5,7.84,NN,595,619,YES
salmon,6,6.55,NN,-,-,YES
cheek,5,7.16,NN,565,561,NO
camel,5,5.02,NN,597,561,YES
snake,5,22.35,NN|VB,621,627,YES
leopard,7,5.41,NN,595,635,NO
anchor,6,7.41,NN|VB,595,561,YES
cannon,6,8.71,NN,604,588,YES
cherry,6,13.59,NN|JJ,611,582,YES
hammer,6,12.47,NN|VB,605,618,YES
ball,4,104.96,NN,615,622,YES
potato,6,11.29,NN,629,617,YES
ring,4,92.75,NN|VB,593,601,YES
wire,4,27.51,NN|VB,585,564,YES
corn,4,14.22,NN,576,601,YES
tail,4,23.9,NN|VB,613,551,YES
needle,6,11.92,NN|VB,608,589,YES
shovel,6,6.84,NN|VB,581,538,YES
squirrel,8,5.47,NN|VB,612,642,YES
lion,4,15.35,NN,627,626,YES
pipe,4,19.39,NN|VB,602,598,YES
satellite,9,15.65,NN,-,-,YES
drum,4,8.47,NN|VB,602,599,YES
telephone,9,32.37,NN|VB,619,655,YES
moon,4,49.96,NN|VB,581,585,YES
tank,4,25.61,NN|VB,581,563,YES
pool,4,46.98,NN|VB,573,577,NO
gift,4,64.51,NN,533,553,NO
cave,4,13.98,NN|VB,592,601,YES
river,5,55.47,NN,585,633,YES
television,10,33.9,NN,-,-,YES
chain,5,21.22,NN|VB,595,559,YES
plane,5,95.53,NN|VB,535,556,YES
quarter,7,26.02,NN|VB,509,531,NO
coal,4,6.57,NN,584,581,NO
table,5,105.63,NN|VB,604,582,YES
rope,4,22.71,NN|VB,608,596,YES
root,4,10.47,NN|VB,558,565,YES
cereal,6,6.35,NN,637,576,NO
peach,5,6.35,NN,617,613,NO
tiger,5,18.53,NN,611,606,YES
nest,4,11.1,NN|VB,557,571,YES
turtle,6,17.04,NN,644,564,YES
pencil,6,9.86,NN|VB,617,607,YES
book,4,176.98,NN|VB,609,591,YES
rice,4,15.08,NN,608,506,YES
mouth,5,104.41,NN,568,613,NO
doll,4,24.76,NN|VB,588,565,YES
mule,4,7.02,NN,592,608,NO
horse,5,92.88,NN|VB,613,624,YES
hurricane,9,8.76,NN,576,608,NO
neck,4,59.51,NN|VB,587,622,YES
shoe,4,30.39,NN|VB,600,601,YES
lemon,5,12.02,NN|JJ,608,632,YES
shark,5,14.98,NN,611,602,YES
ambulance,9,22.41,NN,595,627,NO
pants,5,58.75,NN,619,630,YES
wing,4,20.24,NN|VB,595,584,YES
frog,4,11.82,NN,619,617,YES
whistle,7,15.45,NN,579,574,YES
cigarette,9,26.61,NN,607,645,YES
pigeon,6,5.9,NN,609,610,YES
lightning,9,14.14,NN,525,599,YES
shrimp,6,8.71,NN,629,618,YES
scissors,8,6.69,NN,596,609,YES
shirt,5,46.37,NN,616,612,YES
pier,4,6.55,NN,588,545,NO
coffee,6,144.53,NN,613,618,YES
thumb,5,11.82,NN|VB,638,599,NO
wallet,6,22.8,NN,584,617,YES
bowl,4,21.45,NN|VB,575,579,YES
clock,5,58.63,NN,591,614,YES
grass,5,16.78,NN|VB,599,602,YES
leaf,4,5.2,NN|VB,593,608,YES
sign,4,133.27,NN|VB,520,534,NO
window,6,86,NN,609,602,YES
drill,5,13.75,NN|VB,516,571,YES
gorilla,7,5.55,NN,620,634,NO
garlic,6,6,NN|JJ,636,565,NO
lung,4,8.24,NN,569,576,NO
muscle,6,13.61,NN|VB,573,553,YES
fork,4,8.82,NN,592,598,YES
bell,4,39.33,NN,620,610,NO
desk,4,43.9,NN,583,574,YES
crab,4,6.9,NN,626,589,YES
lock,4,56.57,NN|VB,565,532,NO
wine,4,60.35,NN,621,624,YES
seed,4,7.57,NN|VB,611,542,NO
whale,5,11.25,NN,610,623,YES
medal,5,11.57,NN,571,529,YES
knee,4,14.69,NN|VB,593,597,NO
missile,7,13.14,NN,597,602,NO
vest,4,5.57,NN,575,581,NO
chicken,7,61.73,NN|VB,614,619,YES
goat,4,10.53,NN,636,585,NO
cane,4,8.33,NN|VB,590,608,YES
elephant,8,11.37,NN,628,616,YES
steak,5,16.24,NN,646,647,NO
whip,4,13.16,NN|VB,570,579,NO
wheat,5,5.75,NN,594,577,YES
cigar,5,12.94,NN,580,619,YES
hook,4,38,NN|VB,525,541,YES
brain,5,77.02,NN,556,572,YES
balloon,7,8.67,NN|VB,623,583,YES
nose,4,69.75,NN|VB,628,605,YES
lobster,7,7.33,NN,590,630,YES
camera,6,57,NN,627,576,YES
crane,5,33.61,NN|VB,606,562,YES
monkey,6,33.51,NN|VB,566,588,YES
skull,5,14.71,NN,570,609,YES
football,8,37.53,NN,584,597,YES
emperor,7,13.53,NN,527,502,NO
rifle,5,14.57,NN|VB,606,581,NO
forehead,8,7.84,NN,590,596,NO
jewel,5,7.24,NN,594,621,NO
army,4,85.69,NN,543,578,NO
breakfast,9,66.29,NN|VB,576,586,NO
basement,8,21.06,NN,585,571,NO
pudding,7,6.16,NN,593,588,NO
gallery,7,8.51,NN,569,566,NO
shower,6,41.12,NN|VB,588,615,NO
